Payload,Fport
06AF068B0AB6,2
06A906880AB6,2
06A306850AB6,2
069D06830AB6,2
069706790AB6,2
069106700AB6,2
068B06660AB6,2
0685065D0AB6,2
067F06540AB6,2
0679064A0AB3,2
067406490AB3,2
066F06480AB3,2
066A06470AB3,2
066506460AB3,2
066006450AB3,2
065B06440AB3,2
0655053A0AB3,2
064F04300AB3,2
064A03AB0AB3,2
064402F00AB3,2
063F02360AB3,2
0639017C0AB3,2
063300C10AB3,2
062E00C10AB3,2
062800C10AB3,2
062200C10AB3,2
061D00C10AB3,2
061700C10AB3,2
061100C10AB3,2
060C00C10AB3,2
060600C10AB3,2
060000C10AB3,2
05FB00C10AB3,2
063600030912,2
063501030912,2
063402030912,2
063303040912,2
063204040912,2
063105050912,2
063006050A6D,2
0630084E0857,2
0630076806AC,2
063006E30556,2
063006230445,2
06300579036A,2
0630053102BB,2
06300568022F,2
0630054201BF,2
063004FD0166,2
06300443011E,2
0630049700E5,2
0630048A00B7,2
063003F40092,2
063003BE0075,2
0630038B005D,2
063003FE004B,2
0630042D003C,2
063004050030,2
063003C90026,2
06300412001E,2
063003E20018,2
0630046C0013,2
06300000000F,2
06300000000C,2
06300000000A,2
063000000008,2
063000000006,2
063000000005,2
063000000004,2
063000000003,2
063000000002,2
063000000002,2
063000000001,2
062F0522022D,2
062D05EB03EC,2
062C06A60559,2
062A07520683,2
06290768077D,2
0627083A0828,2
062508B00887,2
0624086B08F3,2
062208400946,2
062108DC0993,2
061F084309BC,2
061E090F09EA,2
061E079A07EE,2
061E07670658,2
061E06420513,2
061E059D040F,2
061E05AE033F,2
061E04F40299,2
061E05040214,2
061E04AB01A9,2
061E04700154,2
061E045A0110,2
061E044100DA,2
061E04B200AE,2
061E0416008B,2
061E047F006F,2
061E03CE0059,2
061E048F0047,2
061E040A0039,2
061E0430002D,2
061E03A20024,2
061E0421001D,2
061E03C30017,2
061D04A70134,2
061C04BE0219,2
061B05B402CA,2
061B045C023B,2
061B051501C9,2
061B04E7016D,2
061B04960124,2
061B03ED00EA,2
061B042800BB,2
061B03F70095,2
061B04720077,2
061B03DD005F,2
061B043D004C,2
061B044A003D,2
061B03C40031,2
061B04430027,2
061B03CE001F,2
061B03880019,2
061B03F40014,2
061B00000010,2
061B0000000C,2
061B0000000A,2
061B00000008,2
061B00000006,2
061B00000005,2
061B00000004,2
061B00000003,2
061B00000002,2
061B00000002,2
061B00000001,2
061B00000001,2
061B00000000,2
061B00000000,2
